CustomerID,Recency,Frequency,Monetary,Cluster,Segment
14824,9,4,1127.71,1,Loyal
12353,203,1,89.0,-1,Outlier
16143,2,7,2419.84,-1,Outlier
13243,202,1,600.07,-1,Outlier
15101,8,3,310.03,2,Regular
17581,0,26,10736.11,-1,Outlier
12609,77,3,1126.85,-1,Outlier
12999,195,3,455.88,-1,Outlier
12454,52,2,5.684341886080802e-14,3,Outlier
16676,33,5,1558.72,-1,Outlier
13782,12,6,912.0,-1,Outlier
14035,28,5,1428.02,0,VIP
13505,67,5,4282.88,-1,Outlier
16283,5,6,1531.51,-1,Outlier
13639,73,1,1033.34,-1,Outlier
17569,331,1,344.14,-1,Outlier
17968,373,1,277.35,4,Churned
12990,30,3,409.5,2,Regular
17438,246,2,378.3,3,Outlier
16003,29,5,2735.37,-1,Outlier
13925,35,5,616.65,-1,Outlier
18108,248,2,264.65,3,Outlier
13133,273,2,109.8,-1,Outlier
15488,92,1,91.32000000000001,-1,Outlier
16938,8,5,1903.13,-1,Outlier
13922,351,1,172.25,4,Churned
14434,21,6,1372.8,-1,Outlier
15881,311,6,438.24,-1,Outlier
18114,289,1,220.1,6,At-Risk
17843,302,1,205.48,6,At-Risk
14029,62,2,467.66,3,Outlier
12743,133,2,546.43,3,Outlier
16658,367,1,123.24,4,Churned
15083,256,1,88.2,6,At-Risk
13389,10,3,797.96,2,Regular
14970,67,4,1592.06,-1,Outlier
18224,263,1,158.95000000000002,6,At-Risk
18248,113,3,783.02,-1,Outlier
16932,52,1,161.94,5,One-Time
15366,74,2,602.51,3,Outlier
15738,18,17,4788.77,-1,Outlier
14157,19,3,400.43,2,Regular
17173,4,9,3755.65,-1,Outlier
16914,35,1,208.46,5,One-Time
13520,58,7,3487.75,-1,Outlier
18245,6,8,2507.56,-1,Outlier
15208,0,6,867.62,-1,Outlier
12993,22,4,414.76,1,Loyal
17045,112,3,339.44,-1,Outlier
17846,84,1,2033.1,-1,Outlier
16655,17,6,3794.52,-1,Outlier
16146,156,3,734.13,-1,Outlier
18236,29,6,882.24,-1,Outlier
13895,20,5,2588.12,-1,Outlier
14312,46,6,1611.59,-1,Outlier
17977,28,1,288.14,5,One-Time
14032,1,12,2929.84,-1,Outlier
12594,37,11,3320.2200000000003,-1,Outlier
16810,191,2,275.64,3,Outlier
15747,12,3,974.04,2,Regular
12722,84,5,904.33,-1,Outlier
14967,49,1,463.8,5,One-Time
18251,86,1,4314.72,-1,Outlier
18096,11,3,911.15,2,Regular
18099,126,1,168.31,-1,Outlier
13529,78,2,307.76,3,Outlier
16667,67,2,570.13,3,Outlier
16268,70,2,667.65,3,Outlier
17331,123,1,175.2,5,One-Time
16015,3,4,690.54,1,Loyal
16789,7,1,80.8,5,One-Time
12478,3,1,680.99,-1,Outlier
16411,18,2,214.65,3,Outlier
16262,360,1,-31.65,-1,Outlier
17712,44,1,522.91,5,One-Time
14053,123,2,260.25,3,Outlier
14565,95,5,3073.77,-1,Outlier
17837,41,9,1560.53,-1,Outlier
17849,217,4,605.8000000000001,-1,Outlier
16131,51,6,3506.54,-1,Outlier
12847,21,1,871.54,-1,Outlier
15497,17,3,1259.7,2,Regular
17831,32,1,35.400000000000006,5,One-Time
13240,95,4,663.65,-1,Outlier
16128,17,5,1880.22,-1,Outlier
13901,71,5,2867.2,-1,Outlier
15369,143,1,-1592.49,-1,Outlier
14818,73,3,657.8,2,Regular
15869,276,2,149.64,-1,Outlier
15872,14,2,360.93,3,Outlier
17584,6,3,1227.3,-1,Outlier
15604,51,1,216.39,5,One-Time
13118,19,6,1125.0,-1,Outlier
13636,36,6,941.62,-1,Outlier
15759,217,3,253.04,-1,Outlier
12981,29,2,372.21999999999997,3,Outlier
15601,10,15,6745.36,-1,Outlier
12603,21,1,739.1999999999999,-1,Outlier
13005,173,3,468.95,-1,Outlier
13395,184,1,307.72,-1,Outlier
12585,233,3,1982.81,-1,Outlier
16804,22,3,536.99,2,Regular
18227,217,1,93.75,-1,Outlier
13139,15,8,5055.79,-1,Outlier
14952,45,12,7912.79,-1,Outlier
13261,268,2,944.1,-1,Outlier
16271,2,6,1423.29,-1,Outlier
18120,213,1,111.15,-1,Outlier
14431,298,2,397.76,-1,Outlier
12734,352,1,110.39999999999999,4,Churned
14562,3,19,4709.22,-1,Outlier
14306,50,3,2083.42,-1,Outlier
12716,3,2,1053.49,-1,Outlier
16402,264,2,299.6,-1,Outlier
13898,325,1,155.93,6,At-Risk
17715,200,1,326.4,-1,Outlier
15351,11,8,1862.14,-1,Outlier
13502,16,3,292.0,2,Regular
17456,364,1,249.86,4,Churned
16256,257,2,732.63,-1,Outlier
16149,4,2,280.52,3,Outlier
12728,70,4,836.33,-1,Outlier
18093,92,5,2083.42,-1,Outlier
14428,6,6,1230.14,-1,Outlier
16545,164,1,339.3,-1,Outlier
14300,18,1,43.2,5,One-Time
16536,106,2,539.02,3,Outlier
17197,29,1,1013.01,-1,Outlier
14288,211,2,413.85,3,Outlier
13514,73,1,152.20000000000002,5,One-Time
15095,103,5,1364.7,-1,Outlier
16134,21,3,603.69,2,Regular
15500,7,4,1131.56,1,Loyal
13791,42,3,1047.68,2,Regular
18239,218,5,1561.6100000000001,-1,Outlier
14437,142,2,-43.400000000000006,-1,Outlier
13904,36,2,332.64,3,Outlier
17042,2,5,1044.3799999999999,-1,Outlier
17709,169,1,137.45,6,At-Risk
17459,42,2,657.3,3,Outlier
12457,57,8,1917.78,-1,Outlier
14693,264,1,172.9,6,At-Risk
13645,119,1,252.1,5,One-Time
18221,21,6,1033.31,-1,Outlier
18230,8,8,2716.6000000000004,-1,Outlier
12591,316,1,452.84999999999997,-1,Outlier
15345,34,2,367.69,3,Outlier
13267,2,20,4404.44,-1,Outlier
14836,9,3,102.44999999999999,-1,Outlier
15360,39,1,427.93,5,One-Time
13136,49,6,2545.38,-1,Outlier
15232,112,2,612.06,3,Outlier
15482,15,13,6568.72,-1,Outlier
17462,50,3,662.94,2,Regular
14958,146,3,499.68,-1,Outlier
14163,86,4,2445.91,-1,Outlier
14684,25,5,1236.28,0,VIP
17063,8,8,1421.59,-1,Outlier
14178,8,7,1620.93,-1,Outlier
14291,1,12,3873.3,-1,Outlier
14705,198,1,179.0,6,At-Risk
17447,39,2,541.53,3,Outlier
14964,246,1,206.21,6,At-Risk
15363,240,2,318.05,3,Outlier
17697,235,1,338.95,6,At-Risk
15473,13,8,1465.2,-1,Outlier
14047,8,6,1290.01,-1,Outlier
15750,2,9,2451.23,-1,Outlier
17191,27,7,2095.13,-1,Outlier
17593,3,6,3911.56,-1,Outlier
14690,43,3,358.61,2,Regular
13109,2,3,766.84,2,Regular
17855,372,1,208.97,4,Churned
14973,106,3,1314.45,-1,Outlier
12597,18,5,3683.13,-1,Outlier
16006,210,1,101.4,-1,Outlier
12719,4,3,608.1,2,Regular
16274,372,1,357.95,-1,Outlier
15628,4,10,2865.64,-1,Outlier
17048,114,4,864.32,-1,Outlier
18117,25,1,320.72,5,One-Time
17828,8,5,1599.97,-1,Outlier
13002,317,1,120.94999999999999,6,At-Risk
17069,27,10,2655.2200000000003,-1,Outlier
15622,2,10,3224.53,-1,Outlier
14842,34,5,2456.8,-1,Outlier
17980,165,3,811.45,-1,Outlier
16018,38,2,408.90000000000003,3,Outlier
15211,59,2,894.4100000000001,3,Outlier
14315,20,7,2456.98,-1,Outlier
13127,77,1,259.17,5,One-Time
14550,10,2,765.62,3,Outlier
13121,268,2,254.73,-1,Outlier
12484,32,7,4495.27,-1,Outlier
12865,25,3,1548.07,-1,Outlier
15494,20,2,1299.23,-1,Outlier
12588,38,1,214.89999999999998,5,One-Time
14309,7,10,2319.68,-1,Outlier
14687,106,1,628.38,-1,Outlier
16926,370,1,230.25,4,Churned
14702,0,18,3250.64,-1,Outlier
17962,141,1,102.83,-1,Outlier
17179,177,3,711.79,-1,Outlier
16533,18,4,1026.94,1,Loyal
17858,5,12,5155.66,-1,Outlier
16414,21,2,126.25,3,Outlier
13398,191,1,457.34,-1,Outlier
12853,107,7,1881.7,-1,Outlier
17051,193,1,247.14000000000001,6,At-Risk
16024,11,1,251.24,5,One-Time
13657,10,2,382.14,3,Outlier
14449,18,4,907.1,1,Loyal
12987,73,3,545.0,2,Regular
17334,300,3,306.6,-1,Outlier
12871,83,2,380.64,3,Outlier
12868,185,6,1607.0600000000002,-1,Outlier
17965,37,14,2622.57,-1,Outlier
15089,9,6,2420.84,-1,Outlier
15866,100,1,230.53,5,One-Time
12475,53,1,723.38,-1,Outlier
12877,3,12,1535.77,-1,Outlier
17307,364,1,-152.64000000000001,-1,Outlier
17203,35,6,3563.85,-1,Outlier
12481,22,11,5590.86,-1,Outlier
18233,325,1,440.0,-1,Outlier
15238,28,4,1056.54,1,Loyal
13764,70,3,1521.76,-1,Outlier
16012,34,3,1415.29,-1,Outlier
15994,54,1,427.07,5,One-Time
17188,10,8,2275.58,-1,Outlier
14946,13,1,100.9,5,One-Time
16393,1,14,2941.05,-1,Outlier
14577,12,4,859.71,1,Loyal
17718,231,1,139.35,6,At-Risk
17700,16,5,2508.89,-1,Outlier
15863,25,2,68.84,3,Outlier
13663,178,1,189.47,6,At-Risk
13919,52,3,350.15999999999997,2,Regular
12725,370,1,427.8,-1,Outlier
16807,142,3,1121.59,-1,Outlier
16527,80,1,228.06,5,One-Time
13517,59,4,2109.07,-1,Outlier
16917,276,1,391.52,-1,Outlier
14821,366,1,48.800000000000004,4,Churned
17986,55,1,20.8,5,One-Time
13246,17,7,1922.1,-1,Outlier
13523,32,6,3755.38,-1,Outlier
15485,29,3,2575.0,-1,Outlier
16405,301,2,167.25,-1,Outlier
12731,23,13,18793.41,-1,Outlier
14699,213,1,109.13000000000001,-1,Outlier
15220,51,7,1758.92,-1,Outlier
12740,63,1,427.6,5,One-Time
16792,281,2,110.38000000000001,-1,Outlier
17724,57,4,995.6500000000001,-1,Outlier
15235,217,12,2247.51,-1,Outlier
14175,50,4,3108.06,-1,Outlier
16009,21,4,992.71,1,Loyal
14553,18,5,859.27,0,VIP
15756,60,4,532.96,-1,Outlier
16801,162,5,867.83,-1,Outlier
12347,1,7,4310.0,-1,Outlier
14044,26,4,652.82,1,Loyal
15339,65,3,557.57,2,Regular
14815,36,2,778.5,3,Outlier
14297,17,5,1284.06,0,VIP
17054,27,6,1353.83,-1,Outlier
15610,51,1,112.46000000000001,5,One-Time
13642,215,1,354.8,-1,Outlier
14696,3,8,2070.97,-1,Outlier
13255,3,3,390.66,2,Regular
16539,2,4,1388.81,-1,Outlier
12463,45,5,1303.63,-1,Outlier
17852,11,2,114.34,3,Outlier
13651,34,2,94.2,3,Outlier
17444,147,3,2940.04,-1,Outlier
13124,89,3,3866.33,-1,Outlier
15753,304,1,79.2,-1,Outlier
15762,64,2,583.75,3,Outlier
16542,53,1,119.62,5,One-Time
14038,77,4,1554.48,-1,Outlier
15092,214,2,457.81,3,Outlier
17590,1,3,1479.22,-1,Outlier
17313,17,2,2288.13,-1,Outlier
15104,166,3,1002.54,-1,Outlier
12856,7,7,2162.68,-1,Outlier
13508,243,1,110.97,6,At-Risk
15348,71,1,158.04,5,One-Time
14422,0,6,4263.64,-1,Outlier
16929,3,7,1295.39,-1,Outlier
17706,3,18,10097.37,-1,Outlier
15214,1,8,1661.44,-1,Outlier
13654,42,6,2707.33,-1,Outlier
17060,265,1,234.24,6,At-Risk
17974,24,3,740.79,2,Regular
13258,11,3,698.58,2,Regular
16795,364,1,414.88,-1,Outlier
15607,336,1,104.76,-1,Outlier
14440,7,5,2357.6800000000003,-1,Outlier
14056,0,24,8124.4,-1,Outlier
12612,57,2,643.59,3,Outlier
14050,31,2,746.36,3,Outlier
16518,60,3,480.92,2,Regular
16780,99,2,425.19,3,Outlier
17703,34,3,798.74,2,Regular
15491,94,7,3090.85,-1,Outlier
16125,366,1,289.35,4,Churned
16679,365,1,129.75,4,Churned
13115,8,5,2205.63,-1,Outlier
14711,9,12,2838.2,-1,Outlier
14041,265,1,141.41,6,At-Risk
17596,22,7,2827.93,-1,Outlier
17578,190,2,124.74,-1,Outlier
17176,201,1,306.13,-1,Outlier
15223,225,3,454.90000000000003,-1,Outlier
13270,365,1,590.0,-1,Outlier
15744,77,1,34.8,-1,Outlier
12984,18,1,97.5,5,One-Time
12350,309,1,334.4,-1,Outlier
13532,33,1,210.31,5,One-Time
14443,53,5,1400.88,-1,Outlier
12472,30,8,6229.48,-1,Outlier
17727,8,2,1042.55,-1,Outlier
15625,99,5,1504.56,-1,Outlier
14681,70,3,498.95,2,Regular
16140,52,3,703.77,2,Regular
15619,10,1,336.40000000000003,5,One-Time
17572,70,4,226.75000000000003,-1,Outlier
16265,8,10,5423.15,-1,Outlier
13008,322,2,178.46999999999997,-1,Outlier
16670,16,12,4022.46,-1,Outlier
15342,115,2,391.76,3,Outlier
14830,52,1,197.13,5,One-Time
15098,181,4,649.5,-1,Outlier
16387,322,1,94.36,6,At-Risk
17566,7,2,901.21,3,Outlier
16923,11,20,6666.83,-1,Outlier
15226,310,1,154.41,6,At-Risk
14446,0,4,1039.58,1,Loyal
16000,2,3,12393.7,-1,Outlier
12615,1,4,2291.19,-1,Outlier
16152,268,1,1829.04,-1,Outlier
18242,71,4,2232.4900000000002,-1,Outlier
13130,93,1,64.0,-1,Outlier
17453,17,2,486.71999999999997,3,Outlier
14419,10,6,1058.06,-1,Outlier
15732,211,2,294.12,3,Outlier
17194,273,2,262.62,-1,Outlier
12600,28,11,2581.04,-1,Outlier
16652,53,8,6654.26,-1,Outlier
14184,66,1,452.89,5,One-Time
14708,2,4,1096.67,1,Loyal
14961,10,10,7006.58,-1,Outlier
17325,279,1,96.8,6,At-Risk
13249,91,3,711.41,-1,Outlier
16399,18,2,408.57,3,Outlier
18105,37,1,113.48000000000002,5,One-Time
13675,150,2,486.82000000000005,3,Outlier
